group,name,n,nnz,nnz_per_row,pattern_sym,kind
HB,dwt_66,66,320,4.8,1.000,structural problem
Pothen,sphere2,66,450,6.8,1.000,structural problem
Rommes,ww_36_pmec_36,66,1194,18.1,0.334,eigenvalue/model reduction problem
HB,bcsstk02,66,4356,66.0,1.000,structural problem
HB,west0067,67,294,4.4,0.034,chemical process simulation problem
Pajek,GlossGT,72,122,1.7,0.066,directed graph
HB,dwt_72,72,222,3.1,1.000,structural problem
JGD_CAG,CAG_mat72,72,1012,14.1,0.557,combinatorial problem
Pajek,GD95_b,73,96,1.3,0.000,directed graph
HB,can_73,73,377,5.2,1.000,structural problem
Newman,lesmis,77,508,6.6,1.000,undirected weighted graph
Pajek,GD02_b,80,232,2.9,0.000,directed graph
HB,steam3,80,314,3.9,1.000,computational fluid dynamics problem
Pajek,GD97_a,84,332,4.0,1.000,directed graph
JGD_Margulies,cat_ears_2_1,85,254,3.0,0.033,combinatorial problem
HB,ash85,85,523,6.2,1.000,least squares problem
Pajek,Sandi_authors,86,248,2.9,1.000,undirected weighted graph
Grund,d_dyn,87,230,2.6,0.077,chemical process simulation problem
Grund,d_dyn1,87,232,2.7,0.077,chemical process simulation problem
HB,dwt_87,87,541,6.2,1.000,structural problem
Bai,tols90,90,1746,19.4,0.269,computational fluid dynamics problem
vanHeukelum,cage6,93,785,8.4,1.000,directed weighted graph
Mycielski,mycielskian7,95,1510,15.9,1.000,undirected graph
HB,can_96,96,768,8.0,1.000,structural problem
VDOL,spaceStation_1,99,927,9.4,1.000,optimal control problem
Bai,olm100,100,396,4.0,0.669,computational fluid dynamics problem
Bai,tub100,100,396,4.0,1.000,computational fluid dynamics problem
HB,nos4,100,594,5.9,1.000,structural problem
Morandini,rotor1,100,708,7.1,0.514,structural problem
Pajek,GD06_theory,101,380,3.8,1.000,undirected graph
MathWorks,pivtol,102,306,3.0,0.990,statistical/mathematical problem
Bai,ck104,104,992,9.5,1.000,2D/3D problem
Pajek,GD99_c,105,149,1.4,0.389,directed graph
JGD_Homology,n3c6-b1,105,210,2.0,0.086,combinatorial problem
Newman,polbooks,105,882,8.4,1.000,undirected graph
ML_Graph,breasttissue_10NN,106,1412,13.3,1.000,undirected weighted graph
Pajek,GD96_b,111,193,1.7,0.000,directed graph
HB,bcsstm03,112,72,0.6,1.000,structural problem
Pajek,GD98_c,112,336,3.0,1.000,undirected graph
HB,bcsstk03,112,640,5.7,1.000,structural problem
Newman,adjnoun,112,850,7.6,1.000,undirected graph
